"countryorarea","region","lnrchange","lncaseload_lastobs","lnexpo","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows"
"Afghanistan","North Africa and Middle East",0.198042050004005,5.15905523300171,3.58351898193359,-1.17118299007416,-1.3862943649292,0,2.08442902565002,3.55534815788269,3.33220458030701,2.89854049682617,14.4108638763428,14.3593530654907,1
"Albania","Central Europe",0.10728096216917,5.49306154251099,3.09104251861572,-0.274436861276627,-0.510825574398041,2.19722461700439,1.19392240047455,4.08925478124619,4.33073329925537,0.11403326690197,11.3256397247314,12.6219396591187,1001
"Algeria","North Africa and Middle East",0.271017134189606,6.57368040084839,3.55534815788269,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657,3.29089522361755,14.6225519180298,15.6784181594849,1001
"American Samoa","Oceania",NA,NA,0,-0.328504025936127,-0.235722303390503,1.0986123085022,1.56386728310585,4.29045963287354,4.09434461593628,2.22068977355957,8.67496871948242,NA,1001
"Andorra","Western Europe",0,5.92958927154541,3.36729574203491,-0.0725706815719604,-0.127833381295204,2.30258512496948,1.1519236199297,3.61091780662537,4.55387687683105,4.39035797119141,8.51768016815186,NA,1001
"Angola","Central Sub-Saharan Africa",0.0799451097846031,1.94591009616852,2.39789533615112,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359,7.18631029129028,14.2335271835327,14.2320003509521,1
"Antigua and Barbuda","Caribbean",0.277987152338028,1.94591009616852,2.89037179946899,-0.150822877883911,-1.3862943649292,1.7917594909668,1.16543562913948,3.7376697063446,4.24849510192871,4.5214147567749,8.66910743713379,13.2710828781128,1001
"Argentina","Southern Latin America",0.220063582062721,6.9603476524353,3.33220458030701,-0.235722303390503,-0.0833815932273865,1.94591009616852,1.18172717094421,4.1588830947876,4.23410654067993,6.09968662261963,14.480037689209,16.7104244232178,1001
"Armenia","Central Asia",0.412910252809525,6.2766432762146,3.40119743347168,-0.24846139550209,-0.446287125349045,1.94591009616852,1.32441890239716,4.4188404083252,4.27666616439819,3.95155239105225,11.5967035293579,NA,812
"Australia","Australasia",0.0318776518106461,8.42485904693604,4.17438745498657,-0.0725706815719604,-0.150822877883911,2.39789533615112,0.936093330383301,4.49980974197388,4.5643482208252,4.00387620925903,14.6282005310059,18.1418609619141,1001
"Austria","Western Europe",0.283546507358551,9.22817993164062,3.55534815788269,-0.105360545217991,-0.544727206230164,2.56494927406311,0.819779813289642,4.07753753662109,4.55387687683105,5.00544548034668,13.013632774353,16.3754863739014,1
"Azerbaijan","Central Asia",0.0729750916361809,5.69709348678589,3.40119743347168,-0.210721030831337,-0.63487833738327,1.0986123085022,1.51512730121613,4.4188404083252,4.21950769424438,3.27975726127625,12.7142362594604,14.6394872665405,1
"Bahamas","Caribbean",0.144514411687851,2.63905739784241,2.70805025100708,-0.162518903613091,-0.18632960319519,1.60943794250488,1.22377550601959,3.91202306747437,4.18965482711792,6.9821138381958,10.1683435440063,13.9954261779785,1001
"Bahrain","North Africa and Middle East",0.0846433788537979,6.34035921096802,3.58351898193359,-0.210721030831337,-0.116533830761909,0.6931471824646,1.59513361769915,4.47733688354492,4.29045963287354,2.81257653236389,11.1214475631714,15.5865573883057,1001
"Bangladesh","South Asia",0.302894800901413,3.93182563781738,3.13549423217773,-0.673344552516937,-0.994252264499664,1.3862943649292,1.69561553001404,4.06044292449951,3.91202306747437,1.81443870067596,15.1620540618896,15.6046257019043,1
"Barbados","Caribbean",0.0947563201189041,3.52636051177979,2.63905739784241,-0.2231435328722,-1.17118299007416,2.30258512496948,0.937501184403658,4.10774927639961,4.26268005371094,6.1435661315918,9.73802089691162,NA,1001
"Belarus","Eastern Europe",0.0990210250020027,5.02388048171997,3.465735912323,-0.139262065291405,-0.24846139550209,2.30258512496948,0.966983914375305,4.28836574792862,4.39444923400879,5.10160970687866,12.8793659210205,14.8308019638062,1001
"Belgium","Western Europe",0,9.45524501800537,4.02535152435303,-0.105360545217991,-0.020202687010169,2.56494927406311,0.858661592006683,4.38202667236328,4.54329490661621,5.035080909729,13.1139650344849,16.4284801483154,1
"Belize","Caribbean",0.0579235851764679,1.0986123085022,2.0794415473938,-0.35667496919632,-0.798507750034332,1.0986123085022,1.48090813618898,3.49650764465332,4.02535152435303,6.57532930374146,10.3269157409668,14.0759754180908,1001
"Benin","Western Sub-Saharan Africa",0.156944617629051,2.19722461700439,2.70805025100708,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001
"Bermuda","Caribbean",NA,NA,0,-0.0725706815719604,-0.0512933060526848,2.4849066734314,0.904218137264252,4.37319678354263,4.43081665039062,4.53545570373535,8.46053791046143,NA,1001
"Bhutan","South Asia",0,1.3862943649292,3.21887588500977,-0.544727206230164,-0.967584013938904,1.0986123085022,1.52290243005753,3.97029185295105,3.89182019233704,4.6780104637146,10.1227884292603,12.52760887146,1001
"Bolivia (Plurinational State of)","Andean Latin America",0.138485789299011,4.67282867431641,2.99573230743408,-0.446287125349045,-0.371063679456711,1.3862943649292,1.47247207164764,3.99291588664055,3.91202306747437,5.27853393554688,13.5186567306519,15.231876373291,1001
"Bosnia and Herzegovina","Central Europe",0.241668000817299,6.04025459289551,3.25809645652771,-0.261364787817001,-0.733969211578369,2.30258512496948,1.12729386967886,3.49650764465332,4.29045963287354,0.0379881635308266,11.9347333908081,NA,1001
"Botswana","Southern Sub-Saharan Africa",0.198042050004005,1.3862943649292,0,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1
"Brazil","Tropical Latin America",0.391548573970795,8.65119934082031,3.52636051177979,-0.371063679456711,-0.150822877883911,1.7917594909668,1.43270075321198,4.46590805053711,4.17438745498657,5.97222852706909,15.9858503341675,18.4415607452393,1
"Brunei Darussalam","High-income Asia Pacific",0.0807591155171394,4.85981225967407,3.09104251861572,-0.061875406652689,-0.24846139550209,1.0986123085022,1.45372715726495,4.28254244232178,4.34380531311035,4.45747423171997,9.75245761871338,14.0261402130127,1001
"Bulgaria","Central Europe",0.197168305516243,5.9889612197876,3.13549423217773,-0.198450952768326,-0.301105082035065,2.63905739784241,0.850150883197784,4.1588830947876,4.35670900344849,3.11352252960205,12.4935731887817,13.8379030227661,1
"Burkina Faso","Western Sub-Saharan Africa",0.269581377506256,5.56452035903931,3.04452252388,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168,6.48353052139282,13.598032951355,11.9285459518433,1
"Burundi","Eastern Sub-Saharan Africa",0.0990210250020027,0.6931471824646,0,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812
"Cabo Verde","Western Sub-Saharan Africa",0.0579235851764679,1.7917594909668,2.39789533615112,-0.527632772922516,-0.415515393018723,1.3862943649292,1.57979786473513,3.82864141464233,4.04305124282837,6.71293926239014,9.7652006149292,11.8524570465088,1001
"Cambodia","Southeast Asia",0,4.6913480758667,4.1588830947876,-0.653926491737366,-1.46967589855194,1.0986123085022,1.60140573978424,3.82864141464233,3.7376697063446,6.20168304443359,13.4850358963013,14.1598510742188,1
"Cameroon","Western Sub-Saharan Africa",0.267400324344635,5.26269006729126,3.21887588500977,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1
"Canada","High-income North America",0.0799451097846031,9.05099296569824,4.17438745498657,-0.0512933060526848,-0.210721030831337,2.4849066734314,0.896088063716888,4.59511995315552,4.54329490661621,5.24562072753906,14.4185619354248,18.308406829834,1
"Central African Republic","Central Sub-Saharan Africa",0,1.0986123085022,2.7725887298584,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812
