"Country_Region","Confirmed","Deaths","Recovered","Date","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","prediction","Day","upper","lower"
"Congo (Kinshasa)",1,0,0,2020-03-11,1,0,0,-20,1,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-11,1,0,0,-20,1,NA,NA,NA,NA
"Congo (Kinshasa)",1,0,0,2020-03-12,0,0,0,-19,2,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-12,0,0,0,-19,2,NA,NA,NA,NA
"Congo (Kinshasa)",2,0,0,2020-03-13,1,0,0,-18,3,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-13,0,0,0,-18,3,NA,NA,NA,NA
"Congo (Kinshasa)",2,0,0,2020-03-14,0,0,0,-17,4,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-14,0,0,0,-17,4,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-14,1,0,0,-17,1,NA,NA,NA,NA
"Congo (Kinshasa)",2,0,0,2020-03-15,0,0,0,-16,5,NA,NA,NA,NA
"Congo (Brazzaville)",1,0,0,2020-03-15,1,0,0,-16,1,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-15,0,0,0,-16,5,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-15,0,0,0,-16,2,NA,NA,NA,NA
"Congo (Kinshasa)",2,0,0,2020-03-16,0,0,0,-15,6,NA,NA,NA,NA
"Congo (Brazzaville)",1,0,0,2020-03-16,0,0,0,-15,2,NA,NA,NA,NA
"Cote d'Ivoire",1,0,0,2020-03-16,0,0,0,-15,6,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-16,0,0,0,-15,3,NA,NA,NA,NA
"Cote d'Ivoire",5,0,1,2020-03-17,4,0,1,-14,7,NA,NA,NA,NA
"Congo (Kinshasa)",3,0,0,2020-03-17,1,0,0,-14,7,NA,NA,NA,NA
"Congo (Brazzaville)",1,0,0,2020-03-17,0,0,0,-14,3,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-17,0,0,0,-14,4,NA,NA,NA,NA
"Cote d'Ivoire",6,0,1,2020-03-18,1,0,0,-13,8,NA,NA,NA,NA
"Congo (Kinshasa)",4,0,0,2020-03-18,1,0,0,-13,8,NA,NA,NA,NA
"Congo (Brazzaville)",1,0,0,2020-03-18,0,0,0,-13,4,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-18,0,0,0,-13,5,NA,NA,NA,NA
"Congo (Kinshasa)",14,0,0,2020-03-19,10,0,0,-12,9,NA,NA,NA,NA
"Cote d'Ivoire",9,0,1,2020-03-19,3,0,0,-12,9,NA,NA,NA,NA
"Congo (Brazzaville)",3,0,0,2020-03-19,2,0,0,-12,5,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-19,0,0,0,-12,6,NA,NA,NA,NA
"Congo (Kinshasa)",18,0,0,2020-03-20,4,0,0,-11,10,NA,NA,NA,NA
"Cote d'Ivoire",9,0,1,2020-03-20,0,0,0,-11,10,NA,NA,NA,NA
"Congo (Brazzaville)",3,0,0,2020-03-20,0,0,0,-11,6,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-20,0,0,0,-11,7,NA,NA,NA,NA
"Congo (Kinshasa)",23,1,0,2020-03-21,5,1,0,-10,11,NA,NA,NA,NA
"Cote d'Ivoire",14,0,1,2020-03-21,5,0,0,-10,11,NA,NA,NA,NA
"Congo (Brazzaville)",3,0,0,2020-03-21,0,0,0,-10,7,NA,NA,NA,NA
"Eswatini",1,0,0,2020-03-21,0,0,0,-10,8,NA,NA,NA,NA
"Congo (Kinshasa)",30,1,0,2020-03-22,7,0,0,-9,12,NA,NA,NA,NA
"Cote d'Ivoire",14,0,1,2020-03-22,0,0,0,-9,12,NA,NA,NA,NA
"Eswatini",4,0,0,2020-03-22,3,0,0,-9,9,NA,NA,NA,NA
"Congo (Brazzaville)",3,0,0,2020-03-22,0,0,0,-9,8,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-23,1,0,0,-8,9,NA,NA,NA,NA
"Congo (Kinshasa)",36,1,0,2020-03-23,6,0,0,-8,13,NA,NA,NA,NA
"Cote d'Ivoire",25,0,2,2020-03-23,11,0,1,-8,13,NA,NA,NA,NA
"Eswatini",4,0,0,2020-03-23,0,0,0,-8,10,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-24,0,0,0,-7,10,NA,NA,NA,NA
"Congo (Kinshasa)",45,2,0,2020-03-24,9,1,0,-7,14,NA,NA,NA,NA
"Cote d'Ivoire",73,0,2,2020-03-24,48,0,0,-7,14,NA,NA,NA,NA
"Eswatini",4,0,0,2020-03-24,0,0,0,-7,11,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-25,0,0,0,-6,11,NA,NA,NA,NA
"Congo (Kinshasa)",48,2,0,2020-03-25,3,0,0,-6,15,NA,NA,NA,NA
"Cote d'Ivoire",80,0,3,2020-03-25,7,0,1,-6,15,NA,NA,NA,NA
"Eswatini",4,0,0,2020-03-25,0,0,0,-6,12,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-26,0,0,0,-5,12,NA,NA,NA,NA
"Congo (Kinshasa)",51,3,0,2020-03-26,3,1,0,-5,16,NA,NA,NA,NA
"Cote d'Ivoire",96,0,3,2020-03-26,16,0,0,-5,16,NA,NA,NA,NA
"Eswatini",6,0,0,2020-03-26,2,0,0,-5,13,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-27,0,0,0,-4,13,NA,NA,NA,NA
"Congo (Kinshasa)",51,3,2,2020-03-27,0,0,2,-4,17,NA,NA,NA,NA
"Cote d'Ivoire",101,0,3,2020-03-27,5,0,0,-4,17,NA,NA,NA,NA
"Eswatini",9,0,0,2020-03-27,3,0,0,-4,14,NA,NA,NA,NA
"Congo (Brazzaville)",4,0,0,2020-03-28,0,0,0,-3,14,NA,NA,NA,NA
"Congo (Kinshasa)",65,6,2,2020-03-28,14,3,0,-3,18,NA,NA,NA,NA
"Cote d'Ivoire",101,0,3,2020-03-28,0,0,0,-3,18,NA,NA,NA,NA
"Eswatini",9,0,0,2020-03-28,0,0,0,-3,15,NA,NA,NA,NA
"Congo (Brazzaville)",19,0,0,2020-03-29,15,0,0,-2,15,NA,NA,NA,NA
"Congo (Kinshasa)",65,6,2,2020-03-29,0,0,0,-2,19,NA,NA,NA,NA
"Cote d'Ivoire",165,1,4,2020-03-29,64,1,1,-2,19,NA,NA,NA,NA
"Eswatini",9,0,0,2020-03-29,0,0,0,-2,16,NA,NA,NA,NA
"Congo (Brazzaville)",19,0,0,2020-03-30,0,0,0,-1,16,NA,NA,NA,NA
"Congo (Kinshasa)",81,8,2,2020-03-30,16,2,0,-1,20,NA,NA,NA,NA
"Cote d'Ivoire",168,1,6,2020-03-30,3,0,2,-1,20,NA,NA,NA,NA
"Eswatini",9,0,0,2020-03-30,0,0,0,-1,17,NA,NA,NA,NA
"Congo (Brazzaville)",19,0,0,2020-03-31,0,0,0,0,17,NA,NA,NA,NA
"Congo (Kinshasa)",98,8,2,2020-03-31,17,0,0,0,21,NA,NA,NA,NA
"Cote d'Ivoire",179,1,7,2020-03-31,11,0,1,0,21,NA,NA,NA,NA
"Eswatini",9,0,0,2020-03-31,0,0,0,0,18,NA,NA,NA,NA
"Congo (Brazzaville)",19,0,0,2020-04-01,0,0,0,1,18,9.98392506465743,1,45.2470638961639,2.20298846186892
"Congo (Kinshasa)",109,9,3,2020-04-01,11,1,1,1,22,536.255807165702,1,2511.92986001282,114.481815474526
"Cote d'Ivoire",190,1,9,2020-04-01,11,0,2,1,22,486.867410342412,1,2392.33120695036,99.0832183122731
"Eswatini",9,0,0,2020-04-01,0,0,0,1,19,129.03431680541,1,650.788746170927,25.5841162149811
"Congo (Brazzaville)",22,2,2,2020-04-02,3,2,2,2,19,11.0049153723623,2,49.9595650486421,2.42412363348124
"Congo (Kinshasa)",134,13,3,2020-04-02,25,4,0,2,23,580.479904154606,2,2722.87234197482,123.750538698761
"Cote d'Ivoire",194,1,15,2020-04-02,4,0,6,2,23,527.018530923315,2,2593.23024099692,107.105234061204
"Eswatini",9,0,0,2020-04-02,0,0,0,2,20,141.482843424367,2,714.728769878904,28.0069808674912
"Congo (Brazzaville)",22,2,2,2020-04-03,0,0,0,3,20,12.0666095205172,3,54.8680944678008,2.65369276503822
"Congo (Kinshasa)",134,13,3,2020-04-03,0,0,0,3,24,626.141214621343,3,2940.96660931734,133.307470885735
"Cote d'Ivoire",218,1,19,2020-04-03,24,0,4,3,24,568.474499665695,3,2800.9405477719,115.37669267105
"Eswatini",9,0,0,2020-04-03,0,0,0,3,21,154.401032533997,3,781.185747531753,30.5172987639477
"Congo (Brazzaville)",22,2,2,2020-04-04,0,0,0,4,21,13.1683596466407,4,59.9698446823478,2.891548188957
"Congo (Kinshasa)",154,18,3,2020-04-04,20,5,0,4,25,673.220908442627,4,3166.12836054386,143.148457659645
"Cote d'Ivoire",245,1,25,2020-04-04,27,0,6,4,25,611.218220673829,4,3015.38183956341,123.893998558329
"Eswatini",9,0,0,2020-04-04,0,0,0,4,22,167.781789813215,4,850.125470783609,33.1136167076347
"Congo (Brazzaville)",45,5,2,2020-04-05,23,3,0,5,22,14.3095606992985,5,65.2621895958923,3.13755221323125
"Congo (Kinshasa)",154,18,3,2020-04-05,0,0,0,5,26,721.701188878357,5,3398.27781663712,153.269577748608
"Cote d'Ivoire",261,3,37,2020-04-05,16,2,12,5,26,655.233536262055,5,3236.47813581335,132.653757889387
"Eswatini",9,0,0,2020-04-05,0,0,0,5,23,181.618466973329,5,921.515833907234,35.7945749080453
"Congo (Brazzaville)",45,5,2,2020-04-06,0,0,0,6,23,15.4896456676989,6,70.7426645252578,3.39157599619673
"Congo (Kinshasa)",161,18,5,2020-04-06,7,0,2,6,27,771.565196163883,6,3637.33930438556,163.667120967691
"Cote d'Ivoire",323,3,41,2020-04-06,62,0,4,6,27,700.505139426061,6,3464.15736628264,141.652759524865
"Eswatini",10,0,4,2020-04-06,1,0,4,6,24,195.904814360985,6,995.326613119933,38.5588969328479
"Sao Tome and Principe",4,0,0,2020-04-06,4,0,0,6,1,NA,6,NA,NA
"Congo (Brazzaville)",45,5,2,2020-04-07,0,0,0,7,24,16.7080815393534,7,76.4089492598397,3.65349859446904
"Congo (Kinshasa)",180,18,9,2020-04-07,19,0,4,7,28,822.796923513121,7,3883.2408928939,174.337569060297
"Cote d'Ivoire",349,3,41,2020-04-07,26,0,0,7,28,747.018497581986,7,3698.35102486837,150.887958438047
"Eswatini",10,0,4,2020-04-07,0,0,0,7,25,210.63494047412,7,1071.52927782465,41.4053811377017
"Sao Tome and Principe",4,0,0,2020-04-07,0,0,0,7,2,NA,7,NA,NA
"Congo (Brazzaville)",45,5,2,2020-04-08,0,0,0,8,25,17.9643658473249,8,82.2588535710169,3.92320615090895
"Congo (Kinshasa)",180,18,9,2020-04-08,0,0,0,8,29,875.381143527792,8,4135.91407474179,185.277578933229
"Cote d'Ivoire",384,3,48,2020-04-08,35,0,7,8,29,794.759785753262,8,3938.9938659432,160.356461204928
"Eswatini",12,0,7,2020-04-08,2,0,3,8,26,225.803277131941,8,1150.09682799074,44.3328933030798
"Sao Tome and Principe",4,0,0,2020-04-08,0,0,0,8,3,NA,8,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-09,15,0,3,9,26,19.2580236996894,9,88.2903047282451,4.20059119695339
"Congo (Kinshasa)",180,18,9,2020-04-09,0,0,0,9,30,929.303343392891,9,4395.29348488526,196.48396791045
"Cote d'Ivoire",444,3,52,2020-04-09,60,0,4,9,30,843.7158277345,9,4186.02363664047,170.055513241444
"Eswatini",12,0,7,2020-04-09,0,0,0,9,27,241.404549311217,9,1231.00365313694,47.340360265908
"Sao Tome and Principe",4,0,0,2020-04-09,0,0,0,9,4,NA,9,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-10,0,0,0,10,27,20.5886052069719,10,94.5013366735041,4.48555204920606
"Congo (Kinshasa)",215,20,13,2020-04-10,35,2,4,10,31,984.54966753863,10,4661.31665166769,207.953700700343
"Cote d'Ivoire",444,3,52,2020-04-10,0,0,0,10,31,893.874044034174,10,4439.38083972024,179.982487523724
"Eswatini",12,0,7,2020-04-10,0,0,0,10,28,257.433748865629,10,1314.22540931373,50.4267643779754
"Sao Tome and Principe",4,0,0,2020-04-10,0,0,0,10,5,NA,10,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-11,0,0,0,11,28,21.9556832407555,11,100.890080577514,4.77799228436569
"Congo (Kinshasa)",223,20,16,2020-04-11,8,0,3,11,32,1041.10686668518,11,4933.92377531055,219.683877826185
"Cote d'Ivoire",533,4,58,2020-04-11,89,1,6,11,32,945.222405612273,11,4699.00852260642,190.134874574749
"Eswatini",12,0,7,2020-04-11,0,0,0,11,29,273.886111500948,11,1399.73891119616,53.5911386567128
"Sao Tome and Principe",4,0,0,2020-04-11,0,0,0,11,6,NA,11,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-12,0,0,0,12,29,23.3588514699707,12,107.454756555951,5.07782027975693
"Congo (Kinshasa)",234,20,16,2020-04-12,11,0,0,12,33,1098.96225237421,12,5213.05753005103,231.671725313106
"Cote d'Ivoire",574,5,85,2020-04-12,41,1,27,12,33,997.749392599433,12,4964.8520889453,200.510273538484
"Eswatini",14,0,7,2020-04-12,2,0,0,12,30,290.757096499231,12,1487.52203695023,56.8325625198734
"Sao Tome and Principe",4,0,0,2020-04-12,0,0,0,12,7,NA,12,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-13,0,0,0,13,30,24.7977226316373,13,114.193666366256,5.38494880918658
"Congo (Kinshasa)",235,20,17,2020-04-13,1,0,1,13,34,1158.10365624141,13,5498.66288673312,243.914585459624
"Cote d'Ivoire",626,6,89,2020-04-13,52,1,4,13,34,1051.44395732037,13,5236.85912964318,211.106384192704
"Eswatini",15,0,7,2020-04-13,1,0,0,13,31,308.042368779085,13,1577.55364396618,60.15015801584
"Sao Tome and Principe",4,0,0,2020-04-13,0,0,0,13,8,NA,13,NA,NA
"Congo (Brazzaville)",60,5,5,2020-04-14,0,0,0,14,31,26.2719270008437,14,121.10518693867,5.69929468576104
"Congo (Kinshasa)",241,20,20,2020-04-14,6,0,3,14,35,1218.51939340524,14,5790.68695317465,256.409908549912
"Cote d'Ivoire",638,6,114,2020-04-14,12,0,25,14,35,1106.29549105452,14,5514.97927083418,221.920999776023
"Eswatini",15,0,8,2020-04-14,0,0,1,14,32,325.737782952969,14,1669.81349389198,63.5430864771655
"Sao Tome and Principe",4,0,0,2020-04-14,0,0,0,14,9,NA,14,NA,NA
"Congo (Brazzaville)",117,5,11,2020-04-15,57,0,6,15,32,27.7811110310464,15,128.187764621233,6.02077844480552
"Congo (Kinshasa)",254,21,21,2020-04-15,13,1,1,15,36,1280.19822944582,15,6089.07883005274,269.155245385782
"Cote d'Ivoire",638,6,114,2020-04-15,0,0,0,15,36,1162.29379405608,15,5799.16403662707,232.952000524372
"Eswatini",15,0,8,2020-04-15,0,0,0,15,33,343.839369101186,15,1764.2821856697,67.0105455375465
"Sao Tome and Principe",4,0,0,2020-04-15,0,0,0,15,10,NA,15,NA,NA
"Congo (Brazzaville)",117,5,11,2020-04-16,0,0,0,16,33,29.3249361407797,16,135.439910039133,6.349324061219
"Congo (Kinshasa)",267,22,23,2020-04-16,13,1,2,16,37,1343.12935052818,16,6393.7894803938,282.148240535932
"Cote d'Ivoire",654,6,146,2020-04-16,16,0,32,16,37,1219.4290484289,16,6089.36672480937,244.197347828277
