"","Country_Region","Confirmed","Deaths","Recovered","Date"
"1478","Egypt",1,0,0,"02-14-2020"
"1553","Egypt",1,0,0,"02-15-2020"
"1628","Egypt",1,0,0,"02-16-2020"
"1703","Egypt",1,0,0,"02-17-2020"
"1778","Egypt",1,0,0,"02-18-2020"
"1854","Egypt",1,0,0,"02-19-2020"
"1930","Egypt",1,0,0,"02-20-2020"
"2010","Egypt",1,0,0,"02-21-2020"
"2094","Egypt",1,0,0,"02-22-2020"
"2178","Egypt",1,0,0,"02-23-2020"
"2264","Egypt",1,0,0,"02-24-2020"
"2353","Algeria",1,0,0,"02-25-2020"
"2358","Egypt",1,0,0,"02-25-2020"
"2454","Algeria",1,0,0,"02-26-2020"
"2459","Egypt",1,0,0,"02-26-2020"
"2558","Algeria",1,0,0,"02-27-2020"
"2564","Egypt",1,0,0,"02-27-2020"
"2666","Algeria",1,0,0,"02-28-2020"
"2674","Egypt",1,0,1,"02-28-2020"
"2684","Nigeria",1,0,0,"02-28-2020"
"2784","Algeria",1,0,0,"02-29-2020"
"2790","Egypt",1,0,1,"02-29-2020"
"2801","Nigeria",1,0,0,"02-29-2020"
"2905","Egypt",2,0,1,"03-01-2020"
"2912","Algeria",1,0,0,"03-01-2020"
"2927","Nigeria",1,0,0,"03-01-2020"
"3023","Algeria",3,0,0,"03-02-2020"
"3034","Egypt",2,0,1,"03-02-2020"
"3058","Morocco",1,0,0,"03-02-2020"
"3061","Nigeria",1,0,0,"03-02-2020"
"3064","Senegal",1,0,0,"03-02-2020"
"3161","Algeria",5,0,0,"03-03-2020"
"3175","Egypt",2,0,1,"03-03-2020"
"3180","Senegal",2,0,0,"03-03-2020"
"3207","Morocco",1,0,0,"03-03-2020"
"3210","Nigeria",1,0,0,"03-03-2020"
"3301","Algeria",12,0,0,"03-04-2020"
"3325","Senegal",4,0,0,"03-04-2020"
"3335","Egypt",2,0,1,"03-04-2020"
"3369","Morocco",1,0,0,"03-04-2020"
"3371","Nigeria",1,0,0,"03-04-2020"
"3376","Tunisia",1,0,0,"03-04-2020"
"3468","Algeria",12,0,0,"03-05-2020"
"3492","Senegal",4,0,0,"03-05-2020"
"3495","Egypt",3,0,1,"03-05-2020"
"3506","Morocco",2,0,0,"03-05-2020"
"3539","Nigeria",1,0,0,"03-05-2020"
"3542","South Africa",1,0,0,"03-05-2020"
"3544","Tunisia",1,0,0,"03-05-2020"
"3640","Algeria",17,0,0,"03-06-2020"
"3645","Egypt",15,0,1,"03-06-2020"
"3675","Senegal",4,0,0,"03-06-2020"
"3691","Morocco",2,0,0,"03-06-2020"
"3712","Cameroon",1,0,0,"03-06-2020"
"3726","Nigeria",1,0,0,"03-06-2020"
"3730","South Africa",1,0,0,"03-06-2020"
"3732","Togo",1,0,0,"03-06-2020"
"3733","Tunisia",1,0,0,"03-06-2020"
"3843","Algeria",17,0,0,"03-07-2020"
"3845","Egypt",15,0,1,"03-07-2020"
"3880","Senegal",4,0,0,"03-07-2020"
"3903","Morocco",2,0,0,"03-07-2020"
"3926","Cameroon",1,0,0,"03-07-2020"
"3941","Nigeria",1,0,0,"03-07-2020"
"3945","South Africa",1,0,0,"03-07-2020"
"3947","Togo",1,0,0,"03-07-2020"
"3948","Tunisia",1,0,0,"03-07-2020"
"4048","Egypt",49,1,1,"03-08-2020"
"4070","Algeria",19,0,0,"03-08-2020"
"4120","Senegal",4,0,1,"03-08-2020"
"4135","South Africa",3,0,0,"03-08-2020"
"4144","Cameroon",2,0,0,"03-08-2020"
"4148","Morocco",2,0,0,"03-08-2020"
"4149","Tunisia",2,0,0,"03-08-2020"
"4182","Nigeria",1,0,0,"03-08-2020"
"4186","Togo",1,0,0,"03-08-2020"
"4303","Egypt",55,1,12,"03-09-2020"
"4325","Algeria",20,0,0,"03-09-2020"
"4378","Senegal",4,0,1,"03-09-2020"
"4393","South Africa",3,0,0,"03-09-2020"
"4406","Cameroon",2,0,0,"03-09-2020"
"4410","Morocco",2,0,0,"03-09-2020"
"4411","Nigeria",2,0,0,"03-09-2020"
"4413","Tunisia",2,0,0,"03-09-2020"
"4450","Togo",1,0,0,"03-09-2020"
"4572","Egypt",59,1,1,"03-10-2020"
"4597","Algeria",20,0,0,"03-10-2020"
"4634","South Africa",7,0,0,"03-10-2020"
"4652","Tunisia",5,0,0,"03-10-2020"
"4656","Senegal",4,0,1,"03-10-2020"
"4662","Morocco",3,1,0,"03-10-2020"
"4671","Cameroon",2,0,0,"03-10-2020"
"4674","Nigeria",2,0,0,"03-10-2020"
"4685","Burkina Faso",1,0,0,"03-10-2020"
"4700","Togo",1,0,0,"03-10-2020"
"4785","Egypt",60,1,27,"03-11-2020"
"4812","Algeria",20,0,0,"03-11-2020"
"4827","South Africa",13,0,0,"03-11-2020"
"4859","Tunisia",7,0,0,"03-11-2020"
"4868","Morocco",5,1,0,"03-11-2020"
"4875","Senegal",4,0,1,"03-11-2020"
"4887","Burkina Faso",2,0,0,"03-11-2020"
"4888","Cameroon",2,0,0,"03-11-2020"
"4892","Nigeria",2,0,0,"03-11-2020"
"4904","Congo (Kinshasa)",1,0,0,"03-11-2020"
"4905","Cote d'Ivoire",1,0,0,"03-11-2020"
